site_ID,COUNT,AREA,MEAN
41_385,16798.000000000000000,15118199.999999988824129,1660.312767780939112
309_606,9369.000000000000000,8432099.999999994412065,1764.593029749814832
269_558,17290.000000000000000,15560999.999999988824129,1127.031401034212649
232_201,13656.000000000000000,12290399.999999990686774,1627.304390043002059
461_645,17062.000000000000000,15355799.999999988824129,1621.103949159019066
554_351,14237.000000000000000,12813299.999999990686774,1307.286811085879208
205_186,14437.000000000000000,12993299.999999990686774,1270.615384590099666
272_63,18139.000000000000000,16325099.999999986961484,700.182102121139906
201_412,15347.000000000000000,13812299.999999988824129,944.116718307399765
201_413,15700.000000000000000,14129999.999999988824129,1139.881747544406380
513_304,17307.000000000000000,15576299.999999988824129,1593.936471121023942
112_156,13445.000000000000000,12100499.999999990686774,1163.956734948039866
277_436,16411.000000000000000,14769899.999999988824129,973.437858042728976
236_203,17815.000000000000000,16033499.999999986961484,1098.779334220705323
403_130,18034.000000000000000,16230599.999999986961484,1302.038397509043989
242_420,16260.000000000000000,14633999.999999988824129,1079.984635584644820
633_536,15546.000000000000000,13991399.999999988824129,1437.265107511504766
167_179,17472.000000000000000,15724799.999999988824129,1025.746890761479563
319_251,17834.000000000000000,16050599.999999986961484,969.081110950113953
205_200,13240.000000000000000,11915999.999999990686774,1564.801792254261272
401_632,18028.000000000000000,16225199.999999986961484,1113.834291429775476
316_68,15116.000000000000000,13604399.999999988824129,1403.226152976752701
506_668,17095.000000000000000,15385499.999999988824129,2082.926076124869724
109_44,14887.000000000000000,13398299.999999990686774,1510.880065230211812
506_660,16793.000000000000000,15113699.999999988824129,1744.504816508137992
202_187,15794.000000000000000,14214599.999999988824129,1476.972705209713467
508_321,18070.000000000000000,16262999.999999986961484,1106.346728136476486
605_694,17992.000000000000000,16192799.999999986961484,1432.437516027155425
605_524,17993.000000000000000,16193699.999999986961484,1359.617695865387986
410_641,13653.000000000000000,12287699.999999990686774,1334.868922196210178
109_38,15311.000000000000000,13779899.999999988824129,1538.003898093907992
402_92,16147.000000000000000,14532299.999999988824129,1154.200907537058583
604_528,16691.000000000000000,15021899.999999988824129,1536.554996966088311
414_90,15899.000000000000000,14309099.999999988824129,1049.660946544711805
552_338,17953.000000000000000,16157699.999999986961484,1370.995699487553338
361_471,10665.000000000000000,9598499.999999992549419,1450.212745997718685
455_657,17300.000000000000000,15569999.999999988824129,1296.946948536781292
514_305,17612.000000000000000,15850799.999999988824129,1255.776806119408775
238_204,17605.000000000000000,15844499.999999988824129,758.489267965380350
238_4,17065.000000000000000,15358499.999999988824129,917.474081977063747
357_256,17371.000000000000000,15633899.999999988824129,768.314539633928234
400_640,16688.000000000000000,15019199.999999988824129,1471.747751680796682
555_347,14535.000000000000000,13081499.999999990686774,1262.544431022274921
279_559,17446.000000000000000,15701399.999999988824129,1173.523123331057832
315_449,17795.000000000000000,16015499.999999986961484,1167.507944204058049
270_6,18128.000000000000000,16315199.999999986961484,1369.244775802394315
501_309,14389.000000000000000,12950099.999999990686774,1365.521264494250545
41_386,17185.000000000000000,15466499.999999988824129,1757.851311613010694
604_527,16923.000000000000000,15230699.999999988824129,1460.076845588003152
314_236,17353.000000000000000,15617699.999999988824129,785.959739645488867
734_136,15215.000000000000000,13693499.999999988824129,951.905771728475543
112_159,12300.000000000000000,11069999.999999990686774,1142.545713411655925
357_72,17320.000000000000000,15587999.999999988824129,856.101094584652742
406_488,17233.000000000000000,15509699.999999988824129,801.942554534307305
106_39,13355.000000000000000,12019499.999999990686774,2065.185208139018414
456_96,17658.000000000000000,15892199.999999988824129,1133.577953732232345
366_76,12397.000000000000000,11157299.999999990686774,920.847678007651325
602_525,16307.000000000000000,14676299.999999988824129,2035.970876407279547
459_547,17567.000000000000000,15810299.999999988824129,1359.243496756348122
555_109,16193.000000000000000,14573699.999999988824129,1296.965380822059842
408_11,15869.000000000000000,14282099.999999988824129,1439.042433709680836
312_610,17848.000000000000000,16063199.999999986961484,1589.362497711011429
275_216,16423.000000000000000,14780699.999999988824129,907.474871911093146
603_701,17333.000000000000000,15599699.999999988824129,1375.422033568865800
402_273,15493.000000000000000,13943699.999999988824129,1473.821686387855380
360_73,16644.000000000000000,14979599.999999988824129,1069.985851547289258
86_155,14627.000000000000000,13164299.999999990686774,1755.923952029770589
410_628,10964.000000000000000,9867599.999999992549419,1302.945683178348418
451_95,14509.000000000000000,13058099.999999990686774,1440.302654676250086
205_123,16692.000000000000000,15022799.999999988824129,1301.186771464125286
313_442,17838.000000000000000,16054199.999999986961484,1122.424294474413045
173_579,15944.000000000000000,14349599.999999988824129,1302.722935246393718
39_381,9977.000000000000000,8979299.999999992549419,2383.186109646271234
240_588,15140.000000000000000,13625999.999999988824129,1376.072345174285601
457_650,16646.000000000000000,14981399.999999988824129,1171.870249807700475
