site_ID,Elevation_m
269_542,83.0999985
271_223,116.3000031
278_224,1169.5
276_428,1173.099976
268_62,104.5999985
278_225,1158.400024
279_600,525.5999756
273_429,1102.599976
269_601,91.6999969
276_430,999.7000122
278_226,1149.800049
276_431,862.2999878
270_227,490.5
269_602,108.5
273_432,1304.900024
270_7,526.2000122
268_228,92.8000031
272_229,267.2000122
274_433,400.8999939
279_603,97.5999985
272_230,311.6000061
272_231,314.3999939
272_63,401
277_434,648.2999878
269_604,133
269_558,134.3000031
279_605,101.4000015
270_232,535.2000122
274_435,424.3999939
277_436,647.9000244
269_437,168.8000031
279_559,170.3000031
277_438,598.9000244
274_439,530.7000122
268_233,173.1999969
314_64,227.3999939
314_234,217.3999939
314_235,231.8999939
314_236,242.6000061
314_65,228.1999969
309_606,37.2000008
318_66,1111.599976
321_237,186.5
309_607,35.2000008
313_608,938.0999756
311_440,169.3999939
312_441,697.7999878
318_238,870.7999878
313_442,934.0999756
310_443,232.1000061
313_609,1004.5
315_444,1404.5
318_67,868.2000122
318_239,818.7000122
321_240,587.0999756
313_445,761.7000122
317_241,765.4000244
315_446,1257.400024
318_242,887.7999878
311_447,178.6999969
316_68,826.9000244
320_448,170.3999939
315_449,1206.599976
320_450,213.8999939
317_243,840.2000122
312_610,231.8000031
316_244,684.5999756
309_543,53.7999992
312_451,273.7000122
309_611,54.7000008
321_8,673
313_612,430.2999878
312_613,230.1000061
310_452,110.1999969
310_453,253.3000031
319_245,537.7000122
312_614,257
317_246,762.9000244
311_454,193.1999969
316_247,684.4000244
321_248,576.5999756
319_249,634.0999756
316_250,663
319_69,529.2999878
316_70,691.0999756
316_126,691.7000122
319_251,545.7999878
320_455,173.3999939
316_9,696.4000244
360_252,601.4000244
352_71,108.4000015
362_456,845.7999878
355_457,192.8999939
365_127,576.7999878
365_253,627
357_72,285.7999878
357_254,282.2999878
360_73,569.7000122
355_458,187.1000061
357_74,267.6000061
360_255,587.0999756
352_75,89.0999985
364_459,408.8999939
357_256,265.7999878
352_257,129.3999939
366_76,111.4000015
364_615,487.8999939
365_258,626.7000122
366_77,159.3000031
357_259,265.5
364_616,406.6000061
362_460,960.5
354_461,146.3000031
360_78,554.9000244
365_128,661.5
353_260,148.5
360_261,594.7000122
365_129,510.2000122
352_79,84.9000015
352_262,117.8000031
361_462,1406.900024
365_263,412.5
363_463,929.5
363_464,1083
356_465,222.1000061
363_466,854.2000122
360_80,578
366_81,175.3000031
356_617,224.6999969
362_467,1028.900024
352_264,122.0999985
354_468,110
355_469,167.8000031
366_10,184.6999969
353_265,167.8000031
364_470,672.0999756
361_471,1315.800049
356_472,188.6999969
356_618,237.1000061
364_619,448.7000122
365_82,131
356_620,169.1000061
354_473,135.3000031
353_266,343.7999878
361_474,1587.800049
402_267,147.3999939
404_621,749.2999878
414_268,167.6999969
413_269,289.7999878
402_83,154.1999969
403_270,768.4000244
401_622,172
403_130,727.7999878
403_271,753.2999878
410_475,1194.699951
404_623,872.2999878
409_476,744.2000122
403_272,661.9000244
412_544,1357.900024
412_477,1187.400024
409_478,665.7000122
407_479,820.5999756
400_480,80.1999969
411_481,1160.099976
407_624,794
402_84,188.8999939
412_482,1341
402_273,183.3000031
404_625,922.5999756
409_483,625.2000122
412_626,1269.699951
408_85,1478.5
414_274,48.9000015
404_484,959.2000122
408_275,1394.5
413_276,244.6999969
401_545,259.2000122
401_627,281.7000122
411_485,1074.599976
407_486,661.0999756
411_487,830.7999878
405_277,226.5
405_86,208
405_278,209
414_131,70.6999969
405_279,202.1000061
410_628,1080.699951
408_87,1576.5
406_488,265
407_629,559.5999756
408_11,1585.599976
406_546,265.7999878
412_630,1193.5
414_88,84.3000031
405_89,253
406_489,269.7999878
