site_ID,Shape_Area
65_141,16364993.186262516304851
507_334,16379989.828365219756961
365_128,16351192.011511344462633
271_223,16379991.630136556923389
235_417,16379991.691628444939852
408_284,16379991.122972400858998
318_242,16379990.553720759227872
400_491,16379988.948462512344122
232_56,16379994.400680735707283
41_384,16379991.085699005052447
563_683,16379991.941090209409595
274_439,16379990.734679406508803
553_552,16363789.299285557121038
88_37,16373557.273677002638578
65_145,16379990.957935590296984
169_573,16379989.577865293249488
275_60,16379989.808481741696596
609_357,11300749.123354338109493
83_395,16348228.078786574304104
310_453,16379990.593981241807342
501_13,16379990.510067777708173
453_549,16379991.911025598645210
453_498,16379989.408924199640751
460_656,16379991.810677677392960
232_54,16379988.201583269983530
656_712,16010361.423547731712461
409_483,16379986.618366090580821
607_696,16379991.431522751227021
409_476,16379989.045481102541089
453_507,16379991.215546185150743
312_451,16379991.405579198151827
271_221,16379989.886247523128986
454_297,16379991.203867379575968
356_618,16379989.162378674373031
141_167,16270191.708471842110157
233_419,16379988.614750895649195
63_146,16379989.819547072052956
745_22,16322235.760004576295614
745_25,16379988.114990664646029
404_621,16379992.337341047823429
316_126,16374734.619896696880460
137_47,16379991.910356959328055
84_151,16379990.176356669515371
603_699,16379991.566188350319862
87_398,16379992.489517878741026
242_599,16370984.458162358030677
605_522,16379991.746768677607179
236_205,16379992.562396876513958
647_373,16379994.457075215876102
41_385,16379990.612216159701347
309_606,8953925.967761071398854
269_558,16379989.860701231285930
232_201,16379988.263002498075366
461_645,16379995.211259853094816
554_351,15100488.628242796286941
205_186,14290062.494322199374437
272_63,16379990.678961535915732
201_412,16379986.472130853682756
201_413,16379991.948457336053252
513_304,16379989.807960364967585
112_156,16348488.887264685705304
277_436,16379989.484279092401266
236_203,16379982.796936431899667
403_130,16379994.690592609345913
242_420,16379987.768727997317910
633_536,16379991.898024966940284
167_179,16379991.299489093944430
319_251,16379991.132342649623752
205_200,16357489.748991616070271
401_632,16379988.867714343592525
316_68,16364690.591595327481627
506_668,16379990.733398228883743
109_44,16379986.477746577933431
506_660,16379977.548104386776686
202_187,16379987.705339895561337
508_321,16379990.794263206422329
605_694,16379980.902412666007876
605_524,16379985.985001638531685
410_641,16374758.175455283373594
109_38,16379979.947835452854633
402_92,16379991.423742871731520
604_528,16379989.447185197845101
414_90,16373549.509837592020631
552_338,16379988.455489566549659
361_471,16374594.568150352686644
455_657,16379992.620211061090231
514_305,16379990.640361912548542
238_204,16379989.551461452618241
238_4,16379990.668058255687356
357_256,16379986.645865429192781
400_640,16379990.533279512077570
555_347,16379986.389516308903694
279_559,16379989.662671044468880
315_449,16379989.481277950108051
270_6,16379992.280813181772828
501_309,14078991.682871894910932
41_386,16379991.927610531449318
604_527,16379989.677754933014512
314_236,16379992.571341294795275
734_136,16379987.292701503261924
112_159,16379990.702455935999751
357_72,16379987.135818576440215
406_488,16379992.190173009410501
106_39,16379987.235691273584962
456_96,16326891.479639763012528
366_76,12286034.702062238007784
602_525,16379990.812019124627113
459_547,16379991.537957480177283
555_109,16379988.658921662718058
408_11,16379991.362950222566724
312_610,16379987.986938666552305
275_216,16379989.346803873777390
603_701,16379992.235373418778181
402_273,16379986.447886766865849
360_73,16379990.384677901864052
86_155,16379991.545262033119798
410_628,16379989.560853376984596
451_95,16379991.750048108398914
205_123,16379988.185774594545364
313_442,16379988.559135600924492
173_579,16379989.213226011022925
39_381,16379993.548210604116321
240_588,16132487.230484755709767
457_650,16143293.882459789514542
465_509,16379993.328768225386739
402_83,16379980.964958265423775
