site_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
362_456,36,46.000000000000000,41400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,46.000000000000000,1,1,46,0.6093000,1,46,0.6093000,1,1
355_469,37,710.000000000000000,639000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,710.000000000000000,1,1,710,3.9000001,1,710,3.9000001,1,1
270_7,38,67.000000000000000,60300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,67.000000000000000,1,1,67,0.6273000,1,67,0.6273000,1,1
511_512,39,225.000000000000000,202500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,225.000000000000000,1,1,225,1.2536000,1,225,1.2536000,1,1
413_269,40,353.000000000000000,317700.000000000000000,1,1,0,1.000000000000000,0.000000000000000,353.000000000000000,1,1,353,1.9521000,1,353,1.9521000,1,1
353_266,41,982.000000000000000,883800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,982.000000000000000,1,1,982,5.3976998,1,982,5.3976998,1,1
458_97,42,38.000000000000000,34200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,38.000000000000000,1,1,38,0.4231000,1,38,0.4231000,1,1
353_260,43,1248.000000000000000,1123200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1248.000000000000000,1,1,1248,6.9569001,1,1248,6.9569001,1,1
404_623,45,7.000000000000000,6300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,7.000000000000000,1,1,7,0.0629000,1,7,0.0629000,1,1
316_244,46,17.000000000000000,15300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,17.000000000000000,1,1,17,0.2667000,1,17,0.2667000,1,1
363_466,47,68.000000000000000,61200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,68.000000000000000,1,1,68,0.6496000,1,68,0.6496000,1,1
656_713,48,1910.000000000000000,1719000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1910.000000000000000,1,1,1910,12.8144999,1,1910,12.8144999,1,1
364_470,49,1457.000000000000000,1311300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1457.000000000000000,1,1,1457,8.7676001,1,1457,8.7676001,1,1
458_294,50,9.000000000000000,8100.000000000000000,1,1,0,1.000000000000000,0.000000000000000,9.000000000000000,1,1,9,0.1731000,1,9,0.1731000,1,1
451_296,51,865.000000000000000,778500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,865.000000000000000,1,1,865,6.2356000,1,865,6.2356000,1,1
106_40,52,650.000000000000000,585000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,650.000000000000000,1,1,650,3.5827999,1,650,3.5827999,1,1
320_455,53,261.000000000000000,234900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,261.000000000000000,1,1,261,1.4329000,1,261,1.4329000,1,1
85_31,54,659.000000000000000,593100.000000000000000,1,1,0,1.000000000000000,0.000000000000000,659.000000000000000,1,1,659,3.6380999,1,659,3.6380999,1,1
505_101,55,434.000000000000000,390600.000000000000000,1,1,0,1.000000000000000,0.000000000000000,434.000000000000000,1,1,434,2.4042001,1,434,2.4042001,1,1
278_226,56,920.000000000000000,828000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,920.000000000000000,1,1,920,5.0718999,1,920,5.0718999,1,1
